Title	Author	Publisher	Place of Publication	Date-EDTF	Date of Publication	Dates	Notes	Subjects	Geographical Subjects	Object Type	Original Source	Contributor	Repository	Acquisition	Rights URI	Restrictions	Relation	Transmission Data	Institution	Cataloging	Type-DCMI	Digital Collection	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Report of the Commissioner of Indian Affairs	Cooley, Dennis N.,  1825-1892	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1865		Department of the Interior, Office of Indian Affairs, October 31, 1865&lt;BR&gt;Report to James Harlan, Secretary of the Interior&lt;BR&gt;Alternative tribal name forms: Snake Indians	Indians of North America--Treaties; Indians of North America--Agriculture; Indians of North America--Census; Indians of North America--Population; Nez Perce Indians; Lawyer, Chief,  1796-1876; Lyon, Caleb,  1822-1875; Kutenai Indians; Skitswish Indians; Salish Indians; Kalispel Indians	United States--Idaho&lt;BR&gt;United States--Montana&lt;BR&gt;United States--Oregon	text; report	Report of the Commissioner of Indian Affairs for the Year 1865, p. 29-32	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		11/18/2015	11/18/2015	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/1545	1545	1545.cpd	/lctext/image/1545.cpd
Information with historical and statistical statements relative to the different tribes	Smith, Edward P.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1875		Alternative tribal name forms: Coeur d'Alene Indians	Coast Salish Indians; Alsea Indians; Siletz Indians; Colville Indians; Skitswish Indians; Indians of North America--Agriculture; Indians of North America--Social conditions; Indians of North America--Census; Indians of North America--Population	United States--Oregon--Rogue River Valley&lt;BR&gt;United States--Oregon--Siletz Indian Reservation&lt;BR&gt;United States--Oregon--Grand Ronde Indian Reservation&lt;BR&gt;United States--Washington (State)--Colville Indian Reservation	text; report	Annual Report of the Commissioner of Indian Affairs to the Secretary of the Interior, for the Year 1875, p. 56-60	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		11/18/2015	11/18/2015	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/1546	1546	1546.cpd	/lctext/image/1546.cpd
No. 98 -- Copy of newspaper correspondent B	Anonymous	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.	1858	1858	1858	The fight with the Indians near the Pelouse river	Spokane Indians; Paloos Indians; Skitswish Indians; Indians of North America--Wars; Steptoe, Edward Jenner,  1816-1865; Coeur d'Alene War, 1858; Yakama Indians--Wars, 1855-1859	United States--Washington (State)	text; report	Report of the Commissioner of Indian Affairs, 1858, p. 272-274	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.	http://rightsstatements.org/vocab/NoC-US/1.0/	http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections		Text	American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/108	108	108.cpd	/lctext/image/108.cpd
No. 179 -- Report of Edward R. Geary, superintendent	Geary, Edward R.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.	1859	1859	1859	Report to A. B. Greenwood, Commissioner of Indian Affairs&lt;BR&gt;Office Superintendent Indian Affairs, Portland, Oregon, September 1, 1859&lt;BR&gt;Alternative tribal name forms: Pend d'Oreille Indians, Coeur d'Alene Indians, Flathead Indians	Indians of North America--Food; Indians of North America--Relocation; Indians of North America--Cultural assimilation; Indians of North America--Agriculture; Indians of North America--Education; Missionaries; Indians of North America--Religion; Indians of North America--Land tenure; Shoshoni Indians; Nez Perce Indians; Salish Indians; Skitswish Indians; Kalispel Indians; Colville Indians; Spokane Indians; Klamath Indians; Treaty of Medicine Creek (1854)	United States--Washington (State)--Cape Flattery&lt;BR&gt;United States--Northwest, Pacific&lt;BR&gt;United States--Oregon&lt;BR&gt;United States--Washington (State)--Puget Sound Region	text; report	Report of the Commissioner of Indian Affairs, 1859, p. 382-392	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.	http://rightsstatements.org/vocab/NoC-US/1.0/	http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections		Text	American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/113	113	113.cpd	/lctext/image/113.cpd
No. 85 -- Report of Report of A. J. Cain, agent for the Cayuse, Walla-Walla, Palouse, Nez Perce and Spokane Indians	Cain, A. J.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1860		Report to Edward R. Geary&lt;BR&gt;Indian Agent's Office, Walla Walla Valley, W. T., Sept. 30, 1860&lt;BR&gt;Alternative tribal name forms: Coeur d'Alene Indians, Palouse Indians	Nez Perce Indians--Treaties; Indians of North America--Relocation; Cayuse Indians; Walla Walla Indians; Paloos Indians; Skitswish Indians; Indians of North America--Government relations; Indians of North America--Census; Nez Perce Indians	United States--Washington (State)&lt;BR&gt;United States--Idaho	text; report	Report of the Commissioner of Indian Affairs, 1860, p. 208-211	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/140	140	140.cpd	/lctext/image/140.cpd
G 1. -- Report of C. H. Hale, Superintendent of Indian Affairs, Washington Territory	Hale, Calvin H.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1862		Office Superintendent Indian Affairs, Olympia, W. T., October 19, 1862&lt;BR&gt;Report to William P. Dole, Commissioner of Indian Affairs&lt;BR&gt;Alternative tribal name forms: Snoqualmie Indians, Too-an-hooch Indians, Chim-a-kim Indians, Digger Indians, Snake Indians, Coeur d'Alene Indians, Pend d'Oreille Indians, Okinakane	Indians of North America--Claims; Indians of North America--Economic conditions; Indians of North America--Government relations; Indians of North America--Treaties; Nisqually Indians--Treaties; Indian reservations--Appropriations and expenditures; Duwamish Indians--Treaties; Suquamish Indians--Treaties; Coast Salish Indians; Nooksack Indians; Clallam Indians; Skokomish Indians; Makah Indians--Treaties; Quileute Indians; Quinault Indians; Chehalis Indians; Chinook Indians; Cowlitz Indians; Indians of North America--Agriculture; Indians of North America--Domestic animals; Indians of North America--Education; Nez Perce Indians; Salish Indians; Kutenai Indians; Kalispel Indians; Bannock Indians; Shoshonean Indians; Shoshoni Indians; Skitswish Indians; Spokane Indians; Okanagan Indians; Gold mines and mining; Chemakum Indians; Treaty of Medicine Creek (1854); Kamiakin, Yakama chief,  ca. 1800 - ca. 1877; Makah Indian Tribe. Treaties, etc. United States, 1855 Jan. 31; Quinault River Treaty (1855); Treaty of Point Elliott (1855); Treaty of Point No Point (1855)	United States--Washington (State)--Puget Sound Region&lt;BR&gt;United States--Washington (State)--Squaxin Island&lt;BR&gt;United States--Washington (State)--Puyallup Indian Reservation&lt;BR&gt;United States--Washington (State)--Yakama Indian Reservation&lt;BR&gt;United States--Idaho--Nez Perce Indian Reservation	text; report	Report of the Commissioner of Indian Affairs for the Year 1862, p. 384-401	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/240	240	240.cpd	/lctext/image/240.cpd
No. 10 B -- Report of George A. Paige, Fort Colville special agency	Paige, George A.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1865		Fort Colville, W. T., August 4, 1865&lt;BR&gt;Report to W. H. Waterman, Superintendent of Indian Affairs for Washington Territory&lt;BR&gt;Alternative tribal name forms: Okinakanes; Pend D'Oreilles, Sanposelles	Indians of North America--Claims; Spokane Garry,  1811?-1892; Spokane Indians; Skitswish Indians; Indians of North America--Agriculture; Miners; Indians of North America--Fishing	United States--Washington (State)	text; report	Report of the Commissioner of Indian Affairs for the Year 1865, p. 100-101	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/327	327	327.cpd	/lctext/image/327.cpd
No. 78 -- Office instructions to Governor Lyon, relative to treaties with Indians	Van Valkenburgh, R. B.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1865		Department of the Interior, Office Indian Affairs, Washington, D. C., September 22, 1865&lt;BR&gt;Instructions to Caleb Lyon, Governor and Ex-officio Superintendent	Governors; Lyon, Caleb,  1822-1875; Nez Perce Indians--Treaties; Shoshoni Indians--Treaties; Skitswish Indians--Treaties; Spokane Indians; Indians of North America--Treaties; Kutenai Indians--Treaties; Nez Perce Indians	United States--Idaho&lt;BR&gt;United States--Idaho--Coeur d'Alene Indian Reservation&lt;BR&gt;United States--Idaho--Nez Perce Indian Reservation	text; report	Report of the Commissioner of Indian Affairs for the Year 1865, p. 235-236	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/370	370	370.cpd	/lctext/image/370.cpd
No. 73 -- Annual report of D. W. Ballard, governor and ex-officio superintendent	Ballard, David W.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1867		Office of superintendent Indian Affairs, Boise City, I. T., August 2, 1867&lt;BR&gt;Report to N. G. Taylor, Commissioner of Indian Affairs&lt;BR&gt;Alternative tribal name forms: Coeur d'Alene Indians, Pend d'Oreille Indians	Indians of North America--Relocation; Indians of North America--Census; Indians of North America--Colonization; Indians of North America--Claims; Indians of North America--Government relations; Indian reservations; Kutenai Indians; Kalispel Indians; Skitswish Indians; Spokane Indians; Nez Perce Indians; Shoshoni Indians; Bannock Indians	United States--Idaho--Nez Perce Indian Reservation&lt;BR&gt;United States--Idaho--Fort Hall Indian Reservation&lt;BR&gt;United States--Idaho	text; report	Report on Indian Affairs, by the Acting Commissioner, for the Year 1867, p. 246-248	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/431	431	431.cpd	/lctext/image/431.cpd
No. 10 -- Annual report of W. P. Winans, farmer in charge of Fort Colville Indians	Winans, William P.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1871		Office of Indian Special Agent, Fort Colville, W. T., September 1, 1871&lt;BR&gt;Report to T. J. McKenney, Superintendent of Indian Affairs, Washington Territory&lt;BR&gt;Alternative tribal name forms: Coeur d'Alene Indians, Methow Indians, Lakes Indians	Indians of North America--Population; Indians of North America--Government relations; Okanagan Indians; Sanpoil Indians; Colville Indians; Nespelim Indians; Spokane Indians; Skitswish Indians; Kalispel Indians; Yakama Indians; Indians of North America--Religion; Indians of North America--Agriculture; Trading posts; Hudson's Bay Company; Catholic Church--Missions; Missions; Jesuits--Missions; Presbyterian Church--Missions; Kamiakin, Yakama chief,  ca. 1800 - ca. 1877	United States--Washington (State)&lt;BR&gt;United States--Washington (State)--Colville Indian Reservation	text; report	Report of the Commissioner of Indian Affairs to the Secretary of the Interior, for the Year 1871, p. 292-295	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/476	476	476.cpd	/lctext/image/476.cpd
No. 70 -- Annual report of Colonel De Floyd Jones, U.S.A., superintendent	Jones, De L. Floyd	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1869		Office Superintendent Indian Affairs, Boise City, I. T., September 28, 1869&lt;BR&gt;Report to E. S. Parker, Commissioner of Indian Affairs&lt;BR&gt;Alternative tribal name forms: Coeur d'Alene Indians, Pend d'Oreille Indians	Indians of North America--Agriculture; Indians of North America--Census; Indians of North America--Government relations; Indians of North America--Claims; Indians of North America--Relocation; Indians of North America--Population; Indian reservations--Surveys; Nez Perce Indians; Shoshoni Indians; Bannock Indians; Spokane Indians; Skitswish Indians; Kalispel Indians	United States--Idaho&lt;BR&gt;United States--Idaho--Nez Perce Indian Reservation&lt;BR&gt;United States--Idaho--Fort Hall Indian Reservation	text; report	Report of the Commissioner of Indian Affairs, Made to the Secretary of the Interior, for the Year 1869, p. 277-279	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/518	518	518.cpd	/lctext/image/518.cpd
Report of the Commissioner of Indian Affairs	Walker, Francis A.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1872		Alternative tribal name forms: Coeur d'Alene Indians	Nez Perce Indians; Shoshoni Indians; Bannock Indians; Skitswish Indians; Spokane Indians; Indians of North America--Claims; Indians of North America--Economic conditions; Indians of North America--Government relations; Indians of North America--Treaties	United States--Idaho	text; report	Annual Report of the Commissioner of Indian Affairs to the Secretary of the Interior for the Year 1872, p. 50-51	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		11/18/2015	11/18/2015	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/583	583	583.cpd	/lctext/image/583.cpd
Report of the Commissioner of Indian Affairs -- Commissions Under Indian Legislation by Congress -- Coeur d'Alenes: Nez Perce Indians	Smith, Edward P.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1873		Alternative tribal name forms: Coeur d'Alene Indians	Skitswish Indians; Indians of North America--Relocation; Nez Perce Indians	United States--Oregon--Wallowa River Valley&lt;BR&gt;United States--Idaho	text; report	Annual Report of the Commissioner of Indian Affairs to the Secretary of the Interior, for the Year 1873, p. 17-18	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/610	610	610.cpd	/lctext/image/610.cpd
Report of the Commissioner of Indian Affairs -- Legislation Recommended -- Agreement with Coeur d'Alene Indians in Idaho: Siletz Reservation in Oregon	Smith, Edward P.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1873		Alternative tribal name forms: Coeur d'Alene Indians	Indian reservations; Land settlement--Law and legislation; Skitswish Indians; Indian allotments; Coos Indians; Alsea Indians; Umpqua Indians; Siuslaw Indians; Indians of North America--Land tenure; Indians of North America--Relocation; Indians of North America--Legal status, laws, etc.	United States--Idaho--Coeur d'Alene Indian Reservation&lt;BR&gt;United States--Oregon--Siletz Indian Reservation	text; report	Annual Report of the Commissioner of Indian Affairs to the Secretary of the Interior, for the Year 1873, p. 24	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/611	611	611.cpd	/lctext/image/611.cpd
J. -- Report of J. P. C. Shanks, T. W. Bennet, and H. W. Reed, special commissioners to investigate the condition of the Indians in Idaho and territories adjacent thereto	Shanks, John P. C.&lt;BR&gt;Bennet, T. W.&lt;BR&gt;Reed, Henry W.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1873		Salt Lake City, Utah, November 17, 1873&lt;BR&gt;Alternative tribal name forms: Lakes Indians, Coeur d'Alene Indians	Indian councils; Spokane Indians; Skitswish Indians; Kalispel Indians; Okanagan Indians; Kutenai Indians; Sanpoil Indians; Colville Indians; Indians of North America--Relocation; Indian reservations--Boundaries; Indians of North America--Treaties; Indians of North America--Government relations; Indians of North America--Alcohol use; Land settlement; Trespass; Whiskey industry--Law and legislation; Race relations; Interracial marriage; Indian women; Prostitution	United States--Idaho	text; report	Annual Report of the Commissioner of Indian Affairs to the Secretary of the Interior, for the Year 1873, p. 159-161	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/613	613	613.cpd	/lctext/image/613.cpd
Report of the Commissioner of Indian Affairs	Smith, Edward P.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1874		Department of the Interior, Office of Indian Affairs, Washington, D. C., November 1, 1874&lt;BR&gt;Alternative tribal name forms: Pend d'Oreille Indians, Coeur d'Alene Indians	Indians of North America--Agriculture; Indians of North America--Claims against; Indians of North America--Government relations; Indians of North America--Land tenure; Indians of North America--Population; Shoshoni Indians; Bannock Indians; Indians of North America--Domestic animals; Nez Perce Indians--Treaties; Farms--Equipment and supplies; Presbyterian Church--Missions; Missionaries; Skitswish Indians; Kalispel Indians; Kutenai Indians; Nez Perce Indians	United States--Idaho--Fort Hall Indian Reservation&lt;BR&gt;United States--Idaho--Nez Perce Indian Reservation&lt;BR&gt;United States--Oregon--Wallowa River Valley	text; report	Annual Report of the Commissioner of Indian Affairs to the Secretary of the Interior, for the Year 1874, p. 54-58	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		11/18/2015	11/18/2015	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/631	631	631.cpd	/lctext/image/631.cpd
Annual report of Nez Perce agency	Monteith, John B.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1874		Office Indian Agent, Nez Perce Indians, Lapwai, Idaho   Territory, September 7, 1874&lt;BR&gt;Report to Edward P. Smith,   Commissioner of Indian Affairs&lt;BR&gt;Alternative tribal name   forms: Coeur d'Alene Indians	Indians of North America--Government relations; Indians of North America--Agriculture; Indians of North America--Economic conditions; Indians of North America--Commerce; Indians of North America--Hunting; Mills and mill-work; Spokane Indians; Skitswish Indians; Nez Perce Indians	United States--Idaho--Nez Perce Indian Reservation	text; report	Annual Report of the Commissioner of Indian Affairs to theSecretary of the Interior, for the Year 1874, p. 285-286	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		11/18/2015	11/18/2015	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/635	635	635.cpd	/lctext/image/635.cpd
Report of agent at Colville agency	Simms, John A.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1877		Colville Indian Agency, Fort Colville, Washington Territory, August 23, 1877&lt;BR&gt;Report to Commissioner of Indian Affairs&lt;BR&gt;Alternative tribal name forms: Coeur d'Alene Indians, Pend d'Oreille Indians, Methow Indians	Boarding schools; Indians of North America--Relocation; Indians of North America--Government relations; Indians of North America--Fishing; Indians of North America--Food; Indians of North America--Population; Catholic Church--Missions; Missionaries; Skitswish Indians; Kalispel Indians; Sanpoil Indians; Spokane Indians; Colville Indians	United States--Washington (State)--Colville Indian Reservation	text; report	Annual Report of the Commissioner of Indian Affairs to the Secretary of the Interior, for the Year 1877, p. 186-187	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		11/18/2015	11/18/2015	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/694	694	694.cpd	/lctext/image/694.cpd
Report of Colville Agency	Simms, John A.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1878		Fort Colville Indian Agency, Fort Colville, Washington, August 8, 1878&lt;BR&gt;Report to Commissioner of Indian Affairs&lt;BR&gt;Alternative tribal name forms: Coeur d'Alene Indians	Indians of North America--Economic conditions; Indians of North America--Employment; Indians of North America--Legal status, laws, etc.; Indians of North America--Cultural assimilation; Indians of North America--Education; Indians of North America--Religion; Catholic Church--Missions; Protestant churches--Missions; Spokane Indians; Missionaries; Jesuits--Missions; Skitswish Indians; Boarding schools; Indians of North America--Agriculture; Indian reservations--Employees; Indian reservations--Appropriations and expenditures; Mills and mill-work; Blacksmithing	United States--Washington (State)--Colville Indian Reservation	text; report	Annual Report of the Commissioner of Indian Affairs to the Secretary of the Interior, for the Year 1878, p. 129-130	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		2/8/2014	2/8/2014	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/714	714	714.cpd	/lctext/image/714.cpd
Executive orders , establishing, enlarging, or reducing indian reservations, also restoring certain Indian reservations to the public domain, from May 14, 1855, to October 29, 1878 -- Idaho: Coeur d'Alene Reserve and Fort Hall Reserve	Taylor, N. G.&lt;BR&gt;Wilson, Joseph S.&lt;BR&gt;Otto, W. T.&lt;BR&gt;Johnson, Andrew	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1878		Dept. of the Interior, May-June, 1867&lt;BR&gt;Correspondence regarding reservations&lt;BR&gt;Alternative tribal name forms: Coeur d'Alene Indians	Indian reservations--Boundaries; Shoshoni Indians; Skitswish Indians; Bannock Indians; Indians of North America--Relocation	United States--Idaho--Coeur d'Alene Indian Reservation&lt;BR&gt;United States--Idaho--Fort Hall Indian Reservation&lt;BR&gt;United States--Idaho	text; report	Annual Report of the Commissioner of Indian Affairs to the Secretary of the Interior, for the Year 1878, p. 248-250	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/722	722	722.cpd	/lctext/image/722.cpd
